INSTANCE METHOD OBJECTIVE RUNTIME GAP VEHICLES
A-n80-k10 NN 2255.46 0.000425 27.93 10
A-n80-k10 CW 1860.94 0.003464 5.56 10
F-n72-k4 NN 368.27 0.000344 55.39 4
F-n72-k4 CW 260.93 0.001798 10.10 5
E-n101-k14 NN 1610.91 0.000646 50.98 14
E-n101-k14 CW 1139.07 0.003563 6.75 14
F-n135-k7 NN 1784.34 0.001239 53.56 7
F-n135-k7 CW 1219.32 0.005468 4.93 7
M-n151-k12 NN 1426.23 0.001652 40.52 12
M-n151-k12 CW 1140.42 0.007900 12.36 12
Golden_18 NN 1301.40 0.005680 30.78 27
Golden_18 CW 1087.67 0.035571 9.30 28
CMT10 NN 1836.31 0.002692 31.56 17
CMT10 CW 1402.72 0.015386 0.49 17
Tai150b NN 4384.57 0.001348 60.78 14
Tai150b CW 2890.40 0.007710 5.99 14
Tai385 NN 39034.16 0.020147 60.20 47
Tai385 CW 26804.97 0.060432 10.01 49
Golden_3 NN 13470.09 0.012590 22.48 9
Golden_3 CW 12847.40 0.063606 16.82 9
Li_21 NN 19992.12 0.025241 23.31 10
Li_21 CW 19640.21 0.123570 21.14 10
X-n502-k39 NN 72364.52 0.020047 4.53 39
X-n502-k39 CW 71804.05 0.156921 3.72 39
Loggi-n601-k42 NN 39138.72 0.029180 88.72 42
Loggi-n601-k42 CW 33686.92 0.208222 90.29 42
XL-n1701-k562 NN 1068444.36 0.298293 105.02 609
XL-n1701-k562 CW 1067889.79 1.897256 104.92 611
XL-n2541-k121 NN 160186.84 0.519554 9.42 121
XL-n2541-k121 CW 157997.41 3.853615 7.93 122
